X	Y (m)	z(m)
1	3.25E+03	3.17
1	3.26E+03	3.18
1	3.26E+03	3.18
1	3.26E+03	3.18
1	3.27E+03	3.18
1	3.27E+03	3.18
1	3.27E+03	3.18
1	3.28E+03	3.18
1	3.28E+03	3.18
1	3.28E+03	3.19
1	3.29E+03	3.19
1	3.29E+03	3.19
1	3.30E+03	3.19
1	3.30E+03	3.2
1	3.30E+03	3.2
1	3.31E+03	3.2
1	3.31E+03	3.2
1	3.31E+03	3.21
1	3.32E+03	3.21
1	3.32E+03	3.21
1	3.32E+03	3.21
1	3.33E+03	3.21
1	3.33E+03	3.21
1	3.33E+03	3.21
1	3.34E+03	3.22
1	3.34E+03	3.22
1	3.35E+03	3.22
1	3.35E+03	3.22
1	3.35E+03	3.23
1	3.36E+03	3.23
1	3.36E+03	3.23
1	3.36E+03	3.23
1	3.37E+03	3.24
1	3.37E+03	3.24
1	3.37E+03	3.24
1	3.38E+03	3.24
1	3.38E+03	3.25
1	3.38E+03	3.25
1	3.39E+03	3.25
1	3.39E+03	3.25
1	3.39E+03	3.25
1	3.40E+03	3.25
1	3.40E+03	3.25
1	3.41E+03	3.25
1	3.41E+03	3.26
1	3.41E+03	3.26
1	3.42E+03	3.26
1	3.42E+03	3.26
1	3.42E+03	3.27
1	3.43E+03	3.27
1	3.43E+03	3.27
1	3.43E+03	3.27
1	3.44E+03	3.28
1	3.44E+03	3.28
1	3.44E+03	3.28
1	3.45E+03	3.28
1	3.45E+03	3.28
1	3.45E+03	3.28
1	3.46E+03	3.28
1	3.46E+03	3.28
1	3.47E+03	3.29
1	3.47E+03	3.29
1	3.47E+03	3.29
1	3.48E+03	3.29
1	3.48E+03	3.3
1	3.48E+03	3.3
1	3.49E+03	3.3
1	3.49E+03	3.3
1	3.49E+03	3.3
1	3.50E+03	3.31
1	3.50E+03	3.31
1	3.50E+03	3.31
1	3.51E+03	3.31
1	3.51E+03	3.31
1	3.52E+03	3.31
1	3.52E+03	3.31
1	3.52E+03	3.31
1	3.53E+03	3.32
1	3.53E+03	3.32
1	3.53E+03	3.32
1	3.54E+03	3.32
1	3.54E+03	3.33
1	3.54E+03	3.33
1	3.55E+03	3.33
1	3.55E+03	3.33
1	3.55E+03	3.34
1	3.56E+03	3.34
1	3.56E+03	3.34
1	3.56E+03	3.34
1	3.57E+03	3.34
1	3.57E+03	3.34
1	3.58E+03	3.34
1	3.58E+03	3.34
1	3.58E+03	3.35
1	3.59E+03	3.35
1	3.59E+03	3.35
1	3.59E+03	3.35
1	3.60E+03	3.35
1	3.60E+03	3.35
1	3.60E+03	3.35
1	3.61E+03	3.35
1	3.61E+03	3.35
1	3.61E+03	3.37
1	3.62E+03	3.37
1	3.62E+03	3.37
1	3.63E+03	3.37
1	3.63E+03	3.37
1	3.63E+03	3.37
1	3.64E+03	3.37
1	3.64E+03	3.37
1	3.64E+03	3.38
1	3.65E+03	3.38
1	3.65E+03	3.38
1	3.65E+03	3.38
1	3.66E+03	3.38
1	3.66E+03	3.39
1	3.66E+03	3.39
1	3.67E+03	3.39
1	3.67E+03	3.39
1	3.67E+03	3.4
1	3.68E+03	3.4
1	3.68E+03	3.4
1	3.69E+03	3.4
1	3.69E+03	3.41
1	3.69E+03	3.41
1	3.70E+03	3.41
1	3.70E+03	3.41
1	3.70E+03	3.41
1	3.71E+03	3.41
1	3.71E+03	3.41
1	3.71E+03	3.41
1	3.72E+03	3.41
1	3.72E+03	3.42
1	3.72E+03	3.42
1	3.73E+03	3.42
1	3.73E+03	3.42
1	3.73E+03	3.43
1	3.74E+03	3.43
1	3.74E+03	3.43
1	3.75E+03	3.43
1	3.75E+03	3.43
1	3.75E+03	3.44
1	3.76E+03	3.44
1	3.76E+03	3.44
1	3.76E+03	3.44
1	3.77E+03	3.44
1	3.77E+03	3.44
1	3.77E+03	3.44
1	3.78E+03	3.44
1	3.78E+03	3.44
1	3.78E+03	3.45
1	3.79E+03	3.45
1	3.79E+03	3.45
1	3.80E+03	3.45
1	3.80E+03	3.46
1	3.80E+03	3.46
1	3.81E+03	3.46
1	3.81E+03	3.46
1	3.81E+03	3.47
1	3.82E+03	3.47
1	3.82E+03	3.47
1	3.82E+03	3.47
1	3.83E+03	3.47
1	3.83E+03	3.47
1	3.83E+03	3.47
1	3.84E+03	3.47
1	3.84E+03	3.47
1	3.84E+03	3.48
1	3.85E+03	3.48
1	3.85E+03	3.48
1	3.86E+03	3.48
1	3.86E+03	3.48
1	3.86E+03	3.49
1	3.87E+03	3.49
1	3.87E+03	3.49
1	3.87E+03	3.49
1	3.88E+03	3.5
1	3.88E+03	3.5
1	3.88E+03	3.5
1	3.89E+03	3.5
1	3.89E+03	3.5
1	3.89E+03	3.5
1	3.90E+03	3.5
1	3.90E+03	3.5
1	3.91E+03	3.5
1	3.91E+03	3.51
1	3.91E+03	3.51
1	3.92E+03	3.51
1	3.92E+03	3.51
1	3.92E+03	3.51
1	3.93E+03	3.52
1	3.93E+03	3.52
1	3.93E+03	3.52
1	3.94E+03	3.52
1	3.94E+03	3.53
1	3.94E+03	3.53
1	3.95E+03	3.53
1	3.95E+03	3.53
1	3.95E+03	3.53
1	3.96E+03	3.53
1	3.96E+03	3.53
1	3.97E+03	3.53
1	3.97E+03	3.53
1	3.97E+03	3.54
1	3.98E+03	3.54
1	3.98E+03	3.54
1	3.98E+03	3.54
1	3.99E+03	3.54
1	3.99E+03	3.55
1	3.99E+03	3.55
1	4.00E+03	3.55
1	4.00E+03	3.55
1	4.00E+03	3.56
1	4.01E+03	3.56
1	4.01E+03	3.56
1	4.01E+03	3.56
1	4.02E+03	3.56
1	4.02E+03	3.56
1	4.03E+03	3.56
1	4.03E+03	3.56
1	4.03E+03	3.56
1	4.04E+03	3.56
1	4.04E+03	3.56
1	4.04E+03	3.56
1	4.05E+03	3.56
1	4.05E+03	3.56
1	4.05E+03	3.58
1	4.06E+03	3.58
1	4.06E+03	3.58
1	4.06E+03	3.58
