X	Y (m)	z(m)		
	"2.61e3,"	2.76		
	"2.61e3,"	2.76		
	"2.62e3,"	2.77		
	"2.62e3,"	2.77		
	"2.62e3,"	2.77		
	"2.63e3,"	2.77		
	"2.63e3,"	2.77		
	"2.63e3,"	2.77		
	"2.64e3,"	2.78		
	"2.64e3,"	2.78		
	"2.64e3,"	2.78		
	"2.65e3,"	2.79		
	"2.65e3,"	2.79		
	"2.65e3,"	2.79		
	"2.66e3,"	2.8		
	"2.66e3,"	2.8		
	"2.66e3,"	2.8		
	"2.67e3,"	2.8		
	"2.67e3,"	2.8		
	"2.68e3,"	2.8		
	"2.68e3,"	2.81		
	"2.68e3,"	2.81		
	"2.69e3,"	2.81		
	"2.69e3,"	2.81		
	"2.69e3,"	2.81		
	"2.7e3,"	2.81		
	"2.7e3,"	2.81		
	"2.7e3,"	2.83		
	"2.71e3,"	2.83		
	"2.71e3,"	2.83		
	"2.71e3,"	2.83		
	"2.72e3,"	2.83		
	"2.72e3,"	2.83		
	"2.72e3,"	2.83		
	"2.73e3,"	2.83		
	"2.73e3,"	2.83		
	"2.74e3,"	2.85		
	"2.74e3,"	2.85		
	"2.74e3,"	2.85		
	"2.75e3,"	2.85		
	"2.75e3,"	2.85		
	"2.75e3,"	2.85		
	"2.76e3,"	2.85		
	"2.76e3,"	2.85		
	"2.76e3,"	2.85		
	"2.77e3,"	2.87		
	"2.77e3,"	2.87		
	"2.77e3,"	2.87		
	"2.78e3,"	2.87		
	"2.78e3,"	2.88		
	"2.79e3,"	2.88		
	"2.79e3,"	2.88		
	"2.79e3,"	2.89		
	"2.8e3,"	2.89		
	"2.8e3,"	2.89		
	"2.8e3,"	2.89		
	"2.81e3,"	2.89		
	"2.81e3,"	2.89		
	"2.81e3,"	2.9		
	"2.82e3,"	2.91		
	"2.82e3,"	2.91		
	"2.82e3,"	2.91		
	"2.83e3,"	2.91		
	"2.83e3,"	2.91		
	"2.83e3,"	2.91		
	"2.84e3,"	2.92		
	"2.84e3,"	2.92		
	"2.85e3,"	2.92		
	"2.85e3,"	2.92		
	"2.85e3,"	2.93		
	"2.86e3,"	2.93		
	"2.86e3,"	2.93		
	"2.86e3,"	2.94		
	"2.87e3,"	2.94		
	"2.87e3,"	2.94		
	"2.87e3,"	2.94		
	"2.88e3,"	2.94		
	"2.88e3,"	2.94		
	"2.88e3,"	2.94		
	"2.89e3,"	2.95		
	"2.89e3,"	2.95		
	"2.9e3,"	2.96		
	"2.9e3,"	2.96		
	"2.9e3,"	2.96		
	"2.91e3,"	2.96		
	"2.91e3,"	2.96		
	"2.91e3,"	2.97		
	"2.92e3,"	2.97		
	"2.92e3,"	2.97		
	"2.92e3,"	2.97		
	"2.93e3,"	2.97		
	"2.93e3,"	2.98		
	"2.93e3,"	2.98		
	"2.93e3,"	2.99		
	"2.94e3,"	2.99		
	"2.94e3,"	2.99		
	"2.94e3,"	2.99		
	"2.95e3,"	2.99		
	"2.95e3,"	2.99		
	"2.96e3,"	2.99		
	"2.96e3,"	2.99		
	"2.96e3,"	3		
	"2.96e3,"	3		
	"2.97e3,"	3		
	"2.97e3,"	3		
	"2.97e3,"	3.01		
	"2.98e3,"	3.01		
	"2.98e3,"	3.01		
	"2.98e3,"	3.01		
	"2.99e3,"	3.02		
	"2.99e3,"	3.02		
	"2.99e3,"	3.02		
	"3.0e3,"	3.02		
	"3.0e3,"	3.02		
	"3.0e3,"	3.02		
	"3.01e3,"	3.02		
	"3.01e3,"	3.03		
	"3.02e3,"	3.03		
	"3.02e3,"	3.03		
	"3.02e3,"	3.04		
	"3.03e3,"	3.04		
	"3.03e3,"	3.04		
	"3.03e3,"	3.04		
	"3.04e3,"	3.05		
	"3.04e3,"	3.05		
	"3.04e3,"	3.05		
	"3.05e3,"	3.05		
	"3.05e3,"	3.05		
	"3.05e3,"	3.05		
	"3.06e3,"	3.05		
	"3.06e3,"	3.06		
	"3.07e3,"	3.06		
